sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101162,YouBike2.0_忠孝東路四段223巷口(市民大道側),大安區,忠孝東路四段223巷77號北側,25.04427,121.55291,49,26,23,1,2026-09-25 21:42:02
500101163,YouBike2.0_瑞安街208巷,大安區,瑞安街208巷39號對面,25.02979,121.54053,15,6,8,1,2026-09-25 21:42:02
500101165,YouBike2.0_樂利路21巷口,大安區,樂利路25號,25.0277,121.55132,17,11,5,1,2026-09-25 21:42:02
500101166,YouBike2.0_捷運科技大樓站(台北教育大學),大安區,和平東路二段134號前,25.02472,121.54417,54,14,40,1,2026-09-25 21:42:02
500101167,YouBike2.0_捷運國父紀念館站(2號出口),大安區,忠孝東路四段/光復南路口(西南側),25.04122,121.55745,62,19,40,1,2026-09-25 21:42:02
500101168,YouBike2.0_仁愛醫院,大安區,仁愛路四段/大安路一段口(西南側),25.03756,121.54587,36,6,29,1,2026-09-25 21:42:02
500101169,YouBike2.0_捷運信義安和站(4號出口),大安區,信義路四段252號前,25.03305,121.55378,49,1,47,1,2026-09-25 21:42:02
500101170,YouBike2.0_成功國宅,大安區,和平東路三段1巷/四維路198巷口(西北側),25.02681,121.54668,36,17,19,1,2026-09-25 21:42:02
500101171,YouBike2.0_仁愛延吉街口,大安區,仁愛路四段376號前,25.03748,121.55564,33,12,19,1,2026-09-25 21:42:02
500101172,YouBike2.0_捷運信義安和站(1號出口),大安區,信義路四段225號前,25.03331,121.55265,49,13,36,1,2026-09-25 21:42:02
500101173,YouBike2.0_敦化南路二段103巷口,大安區,敦化南路二段99號前,25.0287,121.54904,24,10,14,1,2026-09-25 21:42:02
500101174,YouBike2.0_復興南路二段128巷口,大安區,復興南路二段142之1號前,25.02861,121.54336,31,10,19,1,2026-09-25 21:42:02
500101175,YouBike2.0_和平東建國南路口,大安區,和平東路/建國南路口(北側),25.02575,121.5377,17,2,15,1,2026-09-25 21:42:02
500101176,YouBike2.0_芳蘭山莊,大安區,基隆路三段155巷148號,25.01223,121.54788,16,3,13,1,2026-09-25 21:42:02
500101177,YouBike2.0_復興南路一段126巷口,大安區,復興南路一段126巷1號前,25.04311,121.54313,15,1,12,1,2026-09-25 21:42:02
500101179,YouBike2.0_捷運東門站(5號出口),大安區,信義路二段178號前,25.03363,121.52962,28,1,26,1,2026-09-25 21:42:02
500101180,YouBike2.0_仁愛路四段48巷口,大安區,仁愛路四段48巷/東豐街(北側),25.03597,121.54693,12,11,1,1,2026-09-25 21:42:02
500101181,YouBike2.0_捷運公館站(3號出口),大安區,捷運公館站(3號出口)西側,25.01551,121.53374,99,10,84,1,2026-09-25 21:42:02
500101182,YouBike2.0_臺北科技大學(電機工程系),大安區,忠孝東路三段100號對側,25.04196,121.53653,34,0,34,1,2026-09-25 21:42:02
500101184,YouBike2.0_新生南路三段94巷口,大安區,新生南路三段94號前,25.01744,121.53334,15,0,15,1,2026-09-25 21:42:02
500101185,YouBike2.0_辛亥新生路口西北側,大安區,辛亥路一段/新生南路三段(西北側),25.02267,121.5341,41,18,21,1,2026-09-25 21:42:02
500101186,YouBike2.0_捷運大安站(6號出口),大安區,復興南路一段303號前,25.03479,121.54376,29,9,20,1,2026-09-25 21:42:02
500101187,YouBike2.0_臥龍街195巷口,大安區,臥龍街/臥龍街195巷(南側),25.01783,121.55224,14,10,4,1,2026-09-25 21:42:02
500101188,YouBike2.0_辛亥路三段157巷口,大安區,辛亥路三段與辛亥路三段157巷口西北側,25.01727,121.54904,27,9,18,1,2026-09-25 21:42:02
500101189,YouBike2.0_臥龍基隆路口,大安區,臥龍街與基隆路二段口東北側,25.02039,121.54853,25,7,18,1,2026-09-25 21:42:02
500101190,YouBike2.0_敦親公園,大安區,和平東路二段96巷8之1號(前方),25.02347,121.54108,26,23,3,1,2026-09-25 21:42:02
500101191,YouBike2.0_大安運動中心,大安區,辛亥路三段55號前方人行道(大安運動中心),25.02054,121.54561,40,1,39,1,2026-09-25 21:42:02
500101192,YouBike2.0_和平敦化路口,大安區,和平東路三段 / 敦化南路二段口(東側),25.02444,121.54908,36,5,31,1,2026-09-25 21:42:02
500101193,YouBike2.0_基隆長興路口,大安區,基隆路/長興街(東南側),25.01705,121.54435,51,4,47,1,2026-09-25 21:42:02
500101194,YouBike2.0_仁愛路四段122巷口,大安區,仁愛路四段118號前,25.03762,121.55009,25,9,16,1,2026-09-25 21:42:02
500101196,YouBike2.0_市民敦化路口,大安區,敦化南路一段111號前,25.04464,121.54944,62,10,49,1,2026-09-25 21:42:02
500101197,YouBike2.0_忠孝東路四段49巷口,大安區,忠孝東路四段55號前,25.04172,121.54541,15,3,12,1,2026-09-25 21:42:02
500101198,YouBike2.0_市民復興路口(東南側),大安區,市民大道四段/復興路一段口(東南側),25.04472,121.54401,26,13,13,1,2026-09-25 21:42:02
500101199,YouBike2.0_和平新生路口西南側,大安區,新生南路三段2號前,25.02604,121.534,24,9,14,1,2026-09-25 21:42:02
500101200,YouBike2.0_全安公園,大安區,安和路二段227巷16號對側,25.02535,121.55101,16,4,11,1,2026-09-25 21:42:02
500101201,YouBike2.0_信義路三段134巷口,大安區,信義路三段/信義路三段134巷口,25.03333,121.53968,28,3,25,1,2026-09-25 21:42:02
500101202,YouBike2.0_仁愛敦南圓環(東南側),大安區,仁愛路四段110號前,25.03715,121.54936,16,14,2,1,2026-09-25 21:42:02
500101203,YouBike2.0_臺北遠企購物中心,大安區,敦化南路二段201號前,25.02709,121.54902,33,0,32,1,2026-09-25 21:42:02
500101204,YouBike2.0_外交部外交及國際事務學院,大安區,敦化南路一段280號,25.0371,121.54839,26,9,16,1,2026-09-25 21:42:02
500101205,YouBike2.0_四維路170巷口,大安區,敦化南路二段92號對側中央分隔島,25.02821,121.54864,22,4,18,1,2026-09-25 21:42:02
500101206,YouBike2.0_捷運大安站(3號出口),大安區,信義路三段184號前,25.03328,121.5425,46,11,34,1,2026-09-25 21:42:02
500101207,YouBike2.0_捷運臺電大樓站(2號出口)_1,大安區,羅斯福路三段201號旁,25.02055,121.52855,38,2,35,1,2026-09-25 21:42:02
500101208,YouBike2.0_信義路四段199巷,大安區,信義路四段199巷/安和路一段90巷口,25.03459,121.55164,21,9,12,1,2026-09-25 21:42:02
500101209,YouBike2.0_臺大資訊大樓,大安區,辛亥路二段(臺大外語學院外),25.02101,121.54153,76,0,73,1,2026-09-25 21:42:02
500101210,YouBike2.0_敦化南路二段81巷,大安區,敦化南路二段與敦化南路二段81巷口西北側,25.03002,121.54893,40,13,27,1,2026-09-25 21:42:02
500101211,YouBike2.0_原臺北刑務所官舍,大安區,金華街78號對側,25.03054,121.52466,23,16,7,1,2026-09-25 21:42:02
500101212,YouBike2.0_捷運國父紀念館站(1號出口),大安區,光復南路200巷26號東側,25.04205,121.55657,24,0,23,1,2026-09-25 21:42:02
500101213,YouBike2.0_懷生國中,大安區,忠孝東路三段248巷30號,25.0401,121.54122,24,6,18,1,2026-09-25 21:42:02
500101214,YouBike2.0_仁愛敦南圓環(西北側),大安區,仁愛路四段85號前,25.03827,121.54802,20,10,7,1,2026-09-25 21:42:02
500101215,YouBike2.0_立人國小,大安區,安和路二段/敦化南路二段81巷(西南側),25.02974,121.55146,17,8,9,1,2026-09-25 21:42:02
500101216,YouBike2.0_和平東路二段18巷口,大安區,辛亥路二段43號前,25.02268,121.53608,24,20,1,1,2026-09-25 21:42:02
500101217,YouBike2.0_捷運大安站(5號出口),大安區,復興南路二段/信義路四段(東南側),25.03303,121.54372,26,1,24,1,2026-09-25 21:42:02
500101218,YouBike2.0_臨江公園,大安區,通化街143巷33號對側,25.02832,121.55592,23,18,5,1,2026-09-25 21:42:02
500101219,YouBike2.0_羅斯福路四段113巷19弄口,大安區,羅斯福路四段119巷84號對側,25.01027,121.53998,14,5,9,1,2026-09-25 21:42:02
500101221,YouBike2.0_忠孝東路四段248巷口,大安區,忠孝東路四段230號前,25.04132,121.55393,25,5,19,1,2026-09-25 21:42:02
500101222,YouBike2.0_仁愛延吉路口(西北側),大安區,仁愛路四段363號前,25.03795,121.55466,24,22,1,1,2026-09-25 21:42:02
